,location,district,rooms,size,level,max_levels,price
3413,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,55,4,4,35000
3414,"город Ташкент, Юнусабадский район, Юнусабад 3-й квартал",Юнусабадский,2,50,4,4,33500
3415,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,68,4,5,59000
3416,"город Ташкент, Мирабадский район, Катта Миробод",Мирабадский,3,86,2,4,135000
3417,"город Ташкент, Юнусабадский район, Интер Континенталь",Юнусабадский,3,66,3,4,75000
3418,"город Ташкент, Мирабадский район, Сарбон",Мирабадский,3,132,3,4,65000
3419,"город Ташкент, Яшнободский район, Тузель-1 или 40лет-1",Яшнободский,2,56,5,5,29500
3420,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90,5,5,46000
3421,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,64,1,5,42000
3422,"город Ташкент, Юнусабадский район, Юнусабад-10",Юнусабадский,3,68,3,5,42100
3423,"город Ташкент, Мирабадский район, Цум",Мирабадский,1,36,1,4,65000
3424,"город Ташкент, Юнусабадский район, 1-й проезд Бахор",Юнусабадский,2,60,3,5,44000
3425,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,72,8,9,65000
3426,"город Ташкент, Олмазорский район, Беруний Б-1",Олмазорский,2,60,2,4,41000
3427,"город Ташкент, Шайхантахурский район, Гульабад",Шайхантахурский,4,84,2,4,55000
3428,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,65,5,9,48000
3429,"город Ташкент, Олмазорский район, Нурафшон",Олмазорский,3,91,3,3,85000
3430,"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,3,105,5,6,66455
3431,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,4,141,3,5,Договорная
3432,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,100,1,4,62000
3433,"город Ташкент, Шайхантахурский район, Абдуллы Кадыри",Шайхантахурский,2,62,8,9,47500
3434,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,52,5,9,41000
3435,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,3,105,4,6,66847
3436,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,3,114,4,5,Договорная
3437,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,55,4,4,38500
3438,"город Ташкент, Яккасарайский район, Мукими",Яккасарайский,2,50,3,4,36000
3439,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,4,100,2,9,66500
3440,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,2,70,3,9,90000
3441,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,65,9,9,35000
3442,"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Олмазорский,5,110,5,5,63500
3443,"город Ташкент, Мирзо-Улугбекский район, Багимайдан массив Ялангач",Мирзо-Улугбекский,1,29,2,4,23990
3444,"город Ташкент, Мирабадский район, Ул.Садика Азимова",Мирабадский,1,47.50,4,4,48900
3445,"город Ташкент, Юнусабадский район, Юнусабад-10",Юнусабадский,4,100,2,5,70000
3446,"город Ташкент, Юнусабадский район, 4kv",Юнусабадский,3,55,1,4,54000
3447,"город Ташкент, Учтепинский район, Денов",Учтепинский,3,80,5,5,36000
3448,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,2,50,4,5,33500
3449,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60,4,4,36500
3450,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,6,9,27500
3451,"город Ташкент, Чиланзарский район, Чиланзар Ц квартал",Чиланзарский,3,75,5,9,74500
3452,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,28500
3453,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,42,4,5,26500
3454,"город Ташкент, Шайхантахурский район, Ифтихор",Шайхантахурский,3,96,5,10,Договорная
3455,"город Ташкент, Сергелийский район, 1-й проезд 1-й улицы Дилкаш",Сергелийский,3,60,2,4,Договорная
3456,"город Ташкент, Сергелийский район, 1-й проезд 1-й улицы Дилкаш",Сергелийский,2,50,2,4,Договорная
3457,"город Ташкент, Сергелийский район, Курувчи",Сергелийский,1,50.30,9,9,21660
3458,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,75,5,5,37000
3459,"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",Юнусабадский,2,60,3,4,41000
3460,"город Ташкент, Чиланзарский район, Метро Хамза",Чиланзарский,4,100,4,9,90000
3461,"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",Юнусабадский,2,60,1,4,40000
3462,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,3,68,4,4,38000
3463,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,3,70,4,4,37000
3464,"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,3,67,4,4,36500
3465,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,68,1,5,44000
3466,"город Ташкент, Юнусабадский район, Юнусабад 5-й квартал",Юнусабадский,2,55,2,5,30000
3467,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,60,8,9,34500
3468,"город Ташкент, Сергелийский район, Сергели-II",Сергелийский,1,48,8,9,22907
3469,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,2,74,3,6,46835
3470,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,4,206,1,5,Договорная
3471,"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,3,70,4,4,37500
3472,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,72,3,9,47000
3473,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,3,67,2,4,42000
3474,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60,4,4,36000
3475,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,57,4,5,36500
3476,"город Ташкент, Чиланзарский район, Чиланзар-Ц",Чиланзарский,2,50,4,5,32000
3477,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,1,4,35500
3478,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,50,2,4,36000
3479,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50,2,5,37500
3480,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,3,9,38000
3481,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,3,9,37000
3482,"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",Юнусабадский,3,66.19,4,4,40000
3483,"город Ташкент, Юнусабадский район, Юнусабад 5-й квартал",Юнусабадский,2,60,4,5,38000
3484,"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",Юнусабадский,1,38,3,4,25000
3485,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,1,40,4,4,22500
3486,"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,2,55,1,4,31500
3487,"город Ташкент, Мирзо-Улугбекский район, Укитувчи",Мирзо-Улугбекский,2,51.33,4,4,42000
3488,"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",Юнусабадский,2,55,4,4,30000
3489,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,1,40,4,5,24500
3490,"город Ташкент, Юнусабадский район, 8-й проезд Янгишахар",Юнусабадский,2,65,1,4,34000
3491,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,4,100,2,5,51000
3492,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,120,4,9,155000
3493,"город Ташкент, Юнусабадский район, Буюк Турон",Юнусабадский,3,150,8,9,165000
3494,"город Ташкент, Учтепинский район, 1-й проезд Козигузар",Учтепинский,4,92,8,9,45000
3495,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,3,114,1,5,Договорная
3496,"город Ташкент, Мирзо-Улугбекский район, Дархон",Мирзо-Улугбекский,4,120,4,8,160000
3497,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,60,1,4,41000
3498,"город Ташкент, Олмазорский район, Каракамыш2/4",Олмазорский,1,22,7,9,15500
3499,"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",Юнусабадский,2,67,2,9,38000
3500,"город Ташкент, Шайхантахурский район, Ибн Сино-2",Шайхантахурский,1,42,8,9,21000
3501,"город Ташкент, Юнусабадский район, Юнусабад 5-й квартал",Юнусабадский,2,60,1,5,39000
3502,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,60,3,5,34500
3503,"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,2,60,3,5,41500
3504,"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",Юнусабадский,3,70,3,4,37000
3505,"город Ташкент, Юнусабадский район, Юнусабад-7",Юнусабадский,2,57.60,4,4,35000
3506,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,1,46,10,12,27598
3507,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,2,55,3,4,34000
3508,"город Ташкент, Юнусабадский район, Юнусабад 17-й квартал",Юнусабадский,2,55,2,7,41000
3509,"город Ташкент, Сергелийский район, Сергели-II",Сергелийский,1,40,9,9,18332
3510,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,2,88,5,5,Договорная
3511,"город Ташкент, Яккасарайский район, Богибустон",Яккасарайский,1,30,3,4,26500
3512,"город Ташкент, Шайхантахурский район, Ибн Сино-2",Шайхантахурский,4,85,2,5,55000
3513,"город Ташкент, Шайхантахурский район, Ибн Сино-2",Шайхантахурский,4,85,2,5,55000
3514,"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,1,45,2,6,28481
3515,"город Ташкент, Мирабадский район, Саракулька",Мирабадский,3,72,4,4,46000
3516,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,3,70,4,4,51500
3517,"город Ташкент, Мирабадский район, Мирабад",Мирабадский,2,65,9,9,47000
3518,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,116,6,9,72356
3519,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,5,176,1,9,69724
3520,"город Ташкент, Мирабадский район, Куйлюк 4-й квартал",Мирабадский,2,56,3,5,40000
3521,"город Ташкент, Сергелийский район, Сергели-II",Сергелийский,3,69,9,9,31622
3522,"город Ташкент, Яккасарайский район, жилой комплекс Solaris",Яккасарайский,1,45,6,7,55710
3523,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,45,9,17,57853
3524,"город Ташкент, Яшнободский район, 40 лет тузел-1",Яшнободский,4,84,5,5,41000
3525,"город Ташкент, Юнусабадский район, Юнусабад-9",Юнусабадский,2,61,2,5,39500
3526,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,4,110,5,6,69620
3527,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,50,2,4,32999
3528,"город Ташкент, Шайхантахурский район, Ифтихор",Шайхантахурский,4,124,8,10,Договорная
3529,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,3,70,4,4,52000
3530,"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,77.47,5,5,50000
3531,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,37,9,10,26500
3532,"город Ташкент, Сергелийский район, Курувчи",Сергелийский,1,46.70,9,9,20110
3533,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.65,10,11,56491
3534,"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,4,110,6,6,69620
3535,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,2,88,5,5,Договорная
3536,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,4,141,2,5,Договорная
3537,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,68,4,5,82000
3538,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,1,45,2,6,28481
3539,"город Ташкент, Сергелийский район, 1",Сергелийский,3,74,5,7,44000
3540,"город Ташкент, Олмазорский район, Олимпия",Олмазорский,3,70,3,4,41000
3541,"город Ташкент, Сергелийский район, Курувчи",Сергелийский,2,88.90,9,9,38282
3542,"город Ташкент, Яккасарайский район, 3-й проезд Яккасарай",Яккасарайский,3,80,5,8,42000
3543,"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,108.27,10,11,69780
3544,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.05,7,11,60260
3545,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,58,4,4,37500
3546,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,3,105,4,6,66455
3547,"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,80,2,5,75000
3548,"город Ташкент, Яшнободский район, Городок Авиастроителей 4-й квартал",Яшнободский,1,49.88,4,6,32245
3549,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,5,191,8,9,93128
3550,"город Ташкент, Чиланзарский район, 1-й проезд А. Тукая",Чиланзарский,1,46,2,5,37500
3551,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,93,14,17,119562
3552,"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,3,108,6,9,75000
3553,"город Ташкент, Яшнободский район, Паркенский",Яшнободский,6,160,6,7,82000
3554,"город Ташкент, Мирзо-Улугбекский район, Ц-1",Мирзо-Улугбекский,4,150,4,8,180000
3555,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,1,30,2,4,23000
3556,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,3,130,2,8,110000
3557,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,52,4,4,33000
3558,"город Ташкент, Олмазорский район, Каракамыш 1/2",Олмазорский,3,69,1,4,50000
3559,"город Ташкент, Мирабадский район, Ойбек",Мирабадский,2,60,4,9,80000
3560,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Магрур",Мирзо-Улугбекский,2,40,1,3,25500
3561,"город Ташкент, Чиланзарский район, 1-й проезд Астрабад",Чиланзарский,2,60,6,9,40000
3562,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,60,8,9,83000
3563,"город Ташкент, Мирабадский район, Нукус",Мирабадский,1,53,7,9,51000
3564,"город Ташкент, Мирабадский район, Мирабад",Мирабадский,2,62,3,9,75000
3565,"город Ташкент, Чиланзарский район, Лутфи",Чиланзарский,4,80,5,5,43000
3566,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,3,75,2,8,75000
3567,"город Ташкент, Сергелийский район, Сергели 8",Сергелийский,4,100,7,9,45800
3568,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,63,5,8,37197
3569,"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,2,60,1,4,37000
3570,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,2,74,3,6,46835
3571,"город Ташкент, Учтепинский район, Ширин",Учтепинский,3,70,5,5,41500
3572,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,4,206,4,5,Договорная
3573,"город Ташкент, Юнусабадский район, Юнусабад 6-й квартал",Юнусабадский,2,80,3,6,50633
3574,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,3,114,2,5,Договорная
3575,"город Ташкент, Мирзо-Улугбекский район, Проспект Мирзо-Улугбек",Мирзо-Улугбекский,4,72,2,5,58000
3576,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.65,8,11,58583
3577,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,75,10,17,96421
3578,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,85,5,9,50000
3579,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,56.97,5,5,40000
3580,"город Ташкент, Юнусабадский район, 18",Юнусабадский,2,58,3,4,32000
3581,"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,3,70,5,5,40000
3582,"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,1,43,1,4,33000
3583,"город Ташкент, Олмазорский район, Бешкурган 2-й квартал",Олмазорский,2,57,4,5,33600
3584,"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,2,60,7,9,36500
3585,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,5,110,5,5,47000
3586,"город Ташкент, Мирабадский район, 1-й проезд Катта Миробод",Мирабадский,2,58,6,9,48000
3587,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,129.18,10,11,83257
3588,"город Ташкент, Мирабадский район, Саида Барака",Мирабадский,2,65,8,9,43000
3589,"город Ташкент, Шайхантахурский район, Ифтихор",Шайхантахурский,4,124,8,9,Договорная
3590,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,1,42,1,5,26000
3591,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Гульсанам",Мирзо-Улугбекский,1,42,4,9,32500
3592,"город Ташкент, Сергелийский район, Курувчи",Сергелийский,1,54.90,9,9,23641
3593,"город Ташкент, Мирабадский район, Куйлюк 2-й квартал",Мирабадский,2,49,1,4,35000
3594,"город Ташкент, Шайхантахурский район, Фараби",Шайхантахурский,4,120,4,5,95000
3595,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,119,7,9,74280
3596,"город Ташкент, Мирабадский район, Тонг Юлдузи",Мирабадский,4,122,3,5,65000
3597,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,72,4,9,43500
3598,"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,3,68,2,4,40000
3599,"город Ташкент, Мирабадский район, Шахрисабз",Мирабадский,2,60,3,9,54000
3600,"город Ташкент, Сергелийский район, 1-й проезд Кипчак",Сергелийский,3,70,2,9,42000
3601,"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,2,63,4,9,76000
3602,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,2,65,4,12,52500
3603,"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,1,36,3,4,25500
3604,"город Ташкент, Яккасарайский район, жилой комплекс Solaris",Яккасарайский,2,74,3,8,52148
3605,"город Ташкент, Шайхантахурский район, Эшона Бобохонова",Шайхантахурский,2,88,3,5,Договорная
3606,"город Ташкент, Сергелийский район, Курувчи",Сергелийский,2,86.60,9,9,37292
3607,"город Ташкент, Сергелийский район, Сергели-II",Сергелийский,2,74,9,9,33903
3608,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,43,1,5,25200
3609,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,39,1,5,27500
3610,"город Ташкент, Мирабадский район, Сайхун",Мирабадский,4,123,4,5,64000
3611,"город Ташкент, Мирзо-Улугбекский район, Феруза-3",Мирзо-Улугбекский,1,44,2,4,25000
3612,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Жасорат",Мирзо-Улугбекский,2,24,5,9,14000
3613,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,7,217,8,9,105805
3614,"город Ташкент, Мирабадский район, Ц7 ГАБУС ЦУМ",Мирабадский,4,135,5,6,290000
3615,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,2,58,4,4,37000
3616,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,2,62,2,9,44000
3617,"город Ташкент, Мирабадский район, Шахрисабз",Мирабадский,3,74,3,9,70000
3618,"город Ташкент, Мирабадский район, Фаровон",Мирабадский,3,74,2,9,73999
3619,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Авайхон",Мирзо-Улугбекский,3,85,1,9,52500
3620,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,45,4,5,35500
3621,"город Ташкент, Сергелийский район, 10",Сергелийский,3,75,6,9,55000
3622,"город Ташкент, Мирзо-Улугбекский район, Мустакиллик",Мирзо-Улугбекский,2,65,5,9,65000
3623,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,3,80,4,4,88000
3624,"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,2,62,7,9,44000
3625,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,5,225,5,8,530000
3626,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,2,62,7,9,70000
3627,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,40,3,4,38500
3628,"город Ташкент, Чиланзарский район, Algaritm",Чиланзарский,2,63.09,5,9,42000
3629,"город Ташкент, Чиланзарский район, Чиланзар  3 квартал",Чиланзарский,2,45,3,4,41000
3630,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,77.50,8,10,49600
3631,"город Ташкент, Чиланзарский район, Algaritm",Чиланзарский,2,63.09,5,9,42000
3632,"город Ташкент, Шайхантахурский район, Ул.Термиз",Шайхантахурский,3,78,8,12,45000
3633,"город Ташкент, Чиланзарский район, Чиланзар  5 квартал",Чиланзарский,3,100,6,9,78000
3634,"город Ташкент, Мирзо-Улугбекский район, Массив КараСу 1",Мирзо-Улугбекский,5,110,3,4,86000
3635,"город Ташкент, Мирзо-Улугбекский район, Массив ТТЗ",Мирзо-Улугбекский,1,18,4,4,10000
3636,"город Ташкент, Мирзо-Улугбекский район, Ул. Буюк Ипак Юли",Мирзо-Улугбекский,3,86,2,4,55000
3637,"город Ташкент, Сергелийский район, 1-й проезд Ёркин Хаёт",Сергелийский,3,73,1,7,Договорная
3638,"город Ташкент, Олмазорский район, Медгородок",Олмазорский,3,205.80,1,6,95000
3639,"город Ташкент, Яшнободский район, Асалобод (Слонима) ",Яшнободский,2,44,2,9,21000
3640,"город Ташкент, Сергелийский район, 1-й проезд 5-й улицы Куприк",Сергелийский,5,130,5,9,64000
3641,"город Ташкент, Яшнободский район, Асалобод (Слонима) ",Яшнободский,2,47,3,4,28500
3642,"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,2,57.95,11,12,29500
3643,"город Ташкент, Олмазорский район, Медгородок",Олмазорский,3,205.80,1,6,95000
3644,"город Ташкент, Мирабадский район, Байналминал",Мирабадский,4,120,1,4,135000
3645,"город Ташкент, Шайхантахурский район, Ц15 Жангох",Шайхантахурский,2,65,6,9,57000
3646,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,1,42,2,9,38000
3647,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,95,6,8,115000
3648,"город Ташкент, Яшнободский район, Эльбека",Яшнободский,2,58,3,4,57000
3649,"город Ташкент, Шайхантахурский район, Урда",Шайхантахурский,3,70,6,7,58000
3650,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,125,5,9,131500
3651,"город Ташкент, Юнусабадский район, Алайский",Юнусабадский,1,39,3,9,33500
3652,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,4,121,6,10,110000
3653,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,62,1,9,67000
3654,"город Ташкент, Яшнободский район, Авиасозлар-4 Лисунова-4",Яшнободский,2,48,3,4,36000
3655,"город Ташкент, Яшнободский район, Авиасозлар-1 Лисунова-1 Ипотека Банк",Яшнободский,3,70,1,4,46000
3656,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,5,336,8,9,504000
3657,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,3,147,3,8,225000
3658,"город Ташкент, Юнусабадский район, Осиё",Юнусабадский,3,70,1,4,78000
3659,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,5,213,8,9,185000
3660,"город Ташкент, Яшнободский район, Алтынтепа",Яшнободский,3,78,2,9,72000
3661,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,2,52.19,3,9,37000
3662,"город Ташкент, Чиланзарский район, Чиланзар 6квартал",Чиланзарский,3,63,3,4,43000
3663,"город Ташкент, Яшнободский район, Тузель 2-й квартал",Яшнободский,4,92,4,5,53999
3664,"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,4,125,4,4,75000
3665,"город Ташкент, Мирабадский район, 1-й проезд Абдурауфа Фитрата",Мирабадский,4,100,1,9,145000
3666,"город Ташкент, Шайхантахурский район, Богкуча",Шайхантахурский,2,58,6,9,44500
3667,"город Ташкент, Сергелийский район, 9-й строительный участок",Сергелийский,2,63,7,16,33539
3668,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,70,8,9,56000
3669,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",Мирзо-Улугбекский,3,75,5,9,62000
3670,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,4,95,4,9,75000
3671,"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,1,37,3,4,31000
3672,"город Ташкент, Мирабадский район, Огабегим",Мирабадский,3,130,9,12,50000
3673,"город Ташкент, Шайхантахурский район, Джарарык",Шайхантахурский,5,168,5,9,62000
3674,"город Ташкент, Олмазорский район, Фараби",Олмазорский,4,120,4,5,95000
3675,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000
3676,"город Ташкент, Сергелийский район, Сергели-II",Сергелийский,3,95,9,9,43524
3677,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,6,187,9,10,Договорная
3678,"город Ташкент, Мирабадский район, Куйлюк 4-й квартал",Мирабадский,2,56,3,5,38500
3679,"город Ташкент, Шайхантахурский район, Дучар",Шайхантахурский,3,85,4,12,53000
3680,"город Ташкент, Юнусабадский район, Юнус Абад 2 кв",Юнусабадский,1,36,3,4,20500
3681,"город Ташкент, Яшнободский район, Тузель-1 40лет-1",Яшнободский,2,56,5,5,29500
3682,"город Ташкент, Яшнободский район, Авиасозлар- Дворец",Яшнободский,3,70,2,5,35500
3683,"город Ташкент, Яшнободский район, Авиасозлар/ Мухтар Ашрафи",Яшнободский,3,70,2,4,39500
3684,"город Ташкент, Яшнободский район, Авиасозлар/ 58-военный городок",Яшнободский,3,78,4,4,38500
3685,"город Ташкент, Яшнободский район, Авиасозлар-1 Лисунова-1",Яшнободский,3,78,5,5,36000
3686,"город Ташкент, Яшнободский район, Авиасозлар/ Массив Янгиобод",Яшнободский,2,51,4,7,27000
